"","person_id","year","perf_a","perf_b","performance","perf_c","performance_c","status","avg_absences","absence","id_s_fr","age","female","department"
"27",2712,2014,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2712,2015,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2712,2016,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2712,2017,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2951,2013,0.163663886,NA,1,0.16366388,1,"Active",8.788084,1,3000010291,69,0,1
"32",2951,2014,NA,NA,1,NA,NA,"",8.2315111,1,3000010291,70,0,1
"33",2951,2015,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2951,2016,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2951,2017,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",3834,2013,-0.555429332,NA,1,-0.55542934,1,"Active",8.4835396,1,3000010352,48,0,1
