"","person_id","year.x","perf_a.x","perf_b.x","perf_c.x","status.x","avg_absences.x","id_s_fr.x","age.x","female.x","year.y","perf_a.y","perf_b.y","perf_c.y","status.y","avg_absences.y","id_s_fr.y","age.y","female.y","year.x.x","perf_a.x.x","perf_b.x.x","perf_c.x.x","status.x.x","avg_absences.x.x","id_s_fr.x.x","age.x.x","female.x.x","year.y.y","perf_a.y.y","perf_b.y.y","perf_c.y.y","status.y.y","avg_absences.y.y","id_s_fr.y.y","age.y.y","female.y.y","year.x.x.x","perf_a.x.x.x","perf_b.x.x.x","perf_c.x.x.x","status.x.x.x","avg_absences.x.x.x","id_s_fr.x.x.x","age.x.x.x","female.x.x.x","year.y.y.y","perf_a.y.y.y","perf_b.y.y.y","perf_c.y.y.y","status.y.y.y","avg_absences.y.y.y","id_s_fr.y.y.y","age.y.y.y","female.y.y.y","year","perf_a","perf_b","perf_c","status","avg_absences","id_s_fr","age","female"
"19",6886,2012,NA,NA,NA,"Active",8.6165409,3000010105,65,1,2013,-1.425958489,1.058154292,0.16838868,"",8.7723188,3000010105,66,1,2014,NA,NA,NA,"",8.8427944,3000010105,67,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",7262,2012,NA,NA,NA,"Active",8.8203459,3000010121,65,1,2013,2.14151785,NA,1.091231,"",7.9622164,3000010121,66,1,2014,NA,NA,NA,"",9.0038376,3000010121,67,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",7653,2012,NA,NA,NA,"Active",8.6369467,3000010160,65,1,2013,0.019229515,-0.331640682,-0.16559103,"Active",8.6825829,3000010160,66,1,2014,0.042146871,NA,0.44732395,"Active",8.1025572,3000010160,67,1,2015,-0.438865809,NA,-0.43886581,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",7715,2012,NA,NA,NA,"Active",8.6073303,3000010291,66,0,2013,-1.894131662,NA,-1.8941317,"Active",8.2742558,3000010291,67,0,2014,-1.183681395,NA,-1.1836814,"",8.4306612,3000010291,68,0,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",7912,2012,NA,NA,NA,"Active",8.280282,3000010130,65,1,2013,-0.199976468,NA,-0.19997646,"Active",7.9295669,3000010132,66,1,2014,NA,NA,NA,"Active",8.0368233,3000010132,67,1,2015,1.829171173,NA,1.8291712,"Active",1.2143898,3000010132,68,1,2016,NA,NA,NA,"Active",0.27965811,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",8096,2012,NA,NA,NA,"Active",7.9705997,3000010362,65,1,2013,0.779197914,NA,0.77919793,"",8.695426,3000010362,66,1,2014,NA,NA,NA,"",8.3220844,3000010362,67,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",8262,2012,NA,NA,NA,"Active",8.3246546,3000010132,65,1,2013,1.480698379,-0.093503173,0.42356861,"Active",8.1838675,3000010132,66,1,2014,1.767792882,0.08856325,0.58899915,"Active",8.1350327,3000010132,67,1,2015,1.240207605,NA,1.2402077,"Active",1.8686887,3000010132,68,1,2016,0.789880001,NA,0.78987998,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",8321,2012,NA,NA,NA,"Active",8.700285,3000010193,66,1,2013,NA,-0.547428704,-0.2488109,"Active",8.6148052,NA,67,1,2014,0.015768979,NA,0.015768979,"Active",8.8239899,3000010151,68,1,2015,NA,NA,NA,"Inactive",1.9711627,NA,69,1,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",8426,2012,NA,NA,NA,"Active",8.5155754,3000010180,66,1,2013,0.365103929,0.282845555,0.37642369,"Active",7.9996147,3000010180,67,1,2014,0.033902403,NA,0.033902403,"",8.3016996,3000010180,68,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",8495,2012,NA,NA,NA,"Active",8.11695,3000010364,65,1,2013,1.337275991,NA,1.337276,"",8.5243607,NA,67,1,2014,NA,NA,NA,"",8.7722559,NA,67,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",8665,2012,NA,NA,NA,"Active",8.8436012,3000010354,65,1,2013,NA,NA,NA,"Active",8.1360512,3000010354,66,1,2014,NA,NA,NA,"Active",8.7201147,3000010364,67,1,2015,-3.091426189,NA,-1.7245715,"Active",1.3917361,3000010354,68,1,2016,0.67028357,-0.628411126,-0.77513552,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",8768,2012,NA,NA,NA,"Active",8.7863169,NA,NA,NA,2013,-0.464058669,NA,-0.46405864,"Active",8.1783791,NA,NA,NA,2014,0.187696685,NA,-0.37425506,"",8.1368313,NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",8774,2012,NA,NA,NA,"Active",8.8096542,NA,65,1,2013,-0.057175027,NA,-0.057175025,"Active",8.6275415,NA,66,1,2014,0.157456026,NA,-1.4971552,"Active",8.9335499,NA,67,1,2015,-0.840088429,NA,-0.84008843,"Active",1.4072225,NA,68,1,2016,-0.473055194,NA,-0.47305518,"Active",0.76706755,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",8817,2012,NA,NA,NA,"Active",8.0089893,3000010353,41.333332,1,2013,NA,NA,NA,"Active",8.493783,3000010353,42.5,1,2014,-1.251577389,NA,-1.2515774,"Active",8.9984274,NA,43,1,2015,-1.051944222,NA,-1.0519441,"Active",2.0892603,3000010857,44,1,2016,-1.758694858,NA,-1.7586948,"Active",0.36750573,NA,NA,NA,2017,-1.199343758,NA,-1.1993438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",9648,2012,NA,NA,NA,"Active",8.5161066,3000010165,64,1,2013,0.692949218,NA,0.69294918,"Active",8.6189108,3000010165,65,1,2014,0.009855137,NA,0.009855137,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",9679,2012,NA,NA,NA,"Active",8.8475924,NA,65,1,2013,NA,NA,NA,"Active",8.177043,NA,66,1,2014,1.676477841,NA,1.6764779,"Active",8.4588041,NA,67,1,2015,NA,NA,NA,"Active",1.6030986,NA,68,1,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
