person_id,year,perf_a,perf_b
15620,2015,,
15620,2016,,
15620,2017,,
15705,2013,0.347829019,-0.009506637
15705,2014,0.206336908,0.975191583
15705,2015,0.199024935,0.598292116
15705,2016,0.367871095,0.453648054
15705,2017,0.856355694,
15743,2013,,
15743,2014,,
15743,2015,,
15743,2016,0.909887648,
15743,2017,,
15787,2013,-0.964464031,
15787,2014,-0.196521174,
15787,2015,,
15787,2016,,
15787,2017,,
15867,2013,0.104922357,
15867,2014,-0.16372249,
15867,2015,0.488477118,
15867,2016,0.265013643,
15867,2017,,
16262,2013,0.212014512,
16262,2014,0.503719851,
16262,2015,-0.145914489,
16262,2016,,
16262,2017,,
16356,2013,2.564138026,
16356,2014,1.817290289,
16356,2015,-0.321068491,
16356,2016,0.859797801,
16356,2017,,
16729,2013,,
16729,2014,,
16729,2015,,
16729,2016,-0.832903875,
16729,2017,-0.789053105,
16897,2013,,
16897,2014,1.11838314,
16897,2015,,
16897,2016,,
16897,2017,,
17204,2013,-0.090504469,0.489987898
17204,2014,-0.379757156,
17204,2015,,
17204,2016,,
17204,2017,,
17482,2013,-0.506614563,
17482,2014,,
17482,2015,,
17482,2016,,
17482,2017,,
17551,2013,-0.347709472,
17551,2014,-4.386533292,
17551,2015,-2.207577993,
17551,2016,,
17551,2017,,
17613,2013,-0.780819408,-1.44906502
17613,2014,-0.566663002,1.183644892
17613,2015,,
17613,2016,,
17613,2017,,
17658,2013,-0.338444499,
17658,2014,0.562422477,1.15554997
17658,2015,0.653488144,-0.623536415
17658,2016,1.341290446,0.382792392
17658,2017,1.223757885,
17810,2013,-0.209870309,
17810,2014,-0.466309107,
17810,2015,,
17810,2016,,
17810,2017,,
17962,2013,-2.025105852,
17962,2014,0.597418278,
17962,2015,-1.268127931,
17962,2016,,
17962,2017,,
18044,2013,1.055092151,
18044,2014,0.474764978,-0.004587653
18044,2015,1.021535463,0.264239996
18044,2016,,
18044,2017,,
18165,2013,-0.533915811,
18165,2014,-0.168909843,
18165,2015,,
18165,2016,,
18165,2017,,
18204,2013,0.195545865,
18204,2014,-0.23366074,
18204,2015,-0.206485081,
18204,2016,-0.607252846,
18204,2017,-0.3220853,
18235,2013,-1.469881822,
18235,2014,-0.879502185,
18235,2015,-0.234498599,
18235,2016,-1.972777979,
18235,2017,,
18474,2013,,
18474,2014,,
18474,2015,,
18474,2016,-0.109387692,
18474,2017,-1.050666654,
18493,2013,0.779197914,
18493,2014,0.482739681,
18493,2015,,
18493,2016,,
18493,2017,,
18537,2013,0.484950813,0.575018915
18537,2014,0.805464269,1.124947522
18537,2015,1.58425903,0.679021403
18537,2016,1.40778991,1.036608542
18537,2017,1.269789985,
18557,2013,0.421810875,
18557,2014,0.619727404,
18557,2015,-0.063886434,
18557,2016,0.073952529,
18557,2017,-0.084714572,
18946,2013,-4.56056642,
18946,2014,,
18946,2015,,
18946,2016,,
18946,2017,,
19127,2013,,
19127,2014,-0.078400248,
19127,2015,,
19127,2016,-0.204369516,
19127,2017,-0.705808196,
19163,2013,-3.613817955,
19163,2014,,
19163,2015,,
19163,2016,,
19163,2017,,
19175,2013,,
19175,2014,,
19175,2015,1.60694417,
19175,2016,1.579540699,
19175,2017,,
19176,2013,0.578327355,
19176,2014,-0.137394485,
19176,2015,0.279131259,
19176,2016,-0.609419404,
19176,2017,,
19262,2013,,
19262,2014,,
19262,2015,-1.388015802,
19262,2016,-1.138518953,
19262,2017,-0.999313878,
19372,2013,0.227869964,
19372,2014,,
19372,2015,,
19372,2016,,
19372,2017,,
19504,2013,1.250446809,
19504,2014,0.144618875,0.283514674
19504,2015,1.137980236,-0.53087365
19504,2016,1.371679609,0.360093915
19504,2017,1.72892217,
19597,2013,0.348223217,-0.601830787
19597,2014,-0.736031652,
19597,2015,-0.041888476,
19597,2016,,
19597,2017,,
19788,2013,0.791595412,-0.500923754
19788,2014,-0.305835058,-1.934520859
19788,2015,0.404660216,-1.91507718
19788,2016,,
19788,2017,,
19949,2013,-0.561100045,
19949,2014,-0.105512544,
19949,2015,-0.593992053,
19949,2016,-0.200339265,
19949,2017,-1.159618111,
20376,2013,1.285533869,
20376,2014,0.938792577,
20376,2015,2.517897975,
20376,2016,1.561086216,
20376,2017,0.973578896,
20661,2013,-1.59075943,
20661,2014,-0.33252405,
20661,2015,-1.869213518,
20661,2016,-1.970339722,
20661,2017,-2.888249454,
20760,2013,1.025828283,
20760,2014,0.638175368,
20760,2015,0.711459684,
20760,2016,,
20760,2017,,
20771,2013,-0.660719177,
20771,2014,-1.249843358,
20771,2015,-1.409054836,
20771,2016,0.371866057,
20771,2017,-0.718579696,
20806,2013,1.726459378,
20806,2014,1.171278695,0.413755109
20806,2015,0.638313977,1.089726486
20806,2016,1.500337721,1.915810172
20806,2017,,
20866,2013,0.61752429,
20866,2014,,
20866,2015,0.737187686,
20866,2016,,
20866,2017,,
20890,2013,1.272107569,
20890,2014,0.598420503,
20890,2015,1.451969573,
20890,2016,0.782903021,
20890,2017,0.665916517,
20960,2013,0.118342919,
20960,2014,,
20960,2015,,
20960,2016,,
20960,2017,,
20985,2013,1.507886471,
20985,2014,1.08094241,
20985,2015,-0.072982195,
20985,2016,1.171620479,
20985,2017,0.340129923,
21083,2013,-0.653724927,
21083,2014,-1.856539442,
21083,2015,-0.216991589,
21083,2016,-0.364753154,
21083,2017,0.534693961,
21189,2013,0.09952582,-3.112415502
21189,2014,0.041425636,-1.119834909
21189,2015,1.073905673,-1.09567573
21189,2016,,
21189,2017,,
21249,2013,-0.014862034,
21249,2014,-2.785912611,
21249,2015,,
21249,2016,,
21249,2017,,
21251,2013,1.77194936,1.220611792
21251,2014,,
21251,2015,,
21251,2016,,
21251,2017,,
21272,2013,0.395554911,-0.929659926
21272,2014,-0.406883549,0.496638956
21272,2015,-1.058919025,-1.499324968
21272,2016,,
21272,2017,,
21277,2013,0.8182296,
21277,2014,1.294071464,-1.971961751
21277,2015,0.825896663,-0.512458322
21277,2016,0.263791695,-1.029699303
21277,2017,-1.182503904,
21321,2013,1.516801298,0.006270798
21321,2014,1.145511293,-1.375113153
21321,2015,,
21321,2016,,
21321,2017,,
21341,2013,0.384502758,0.095993775
21341,2014,0.212292628,-0.403289692
21341,2015,1.056098677,-0.958398474
21341,2016,0.336258105,-0.221059739
21341,2017,1.926442057,
21372,2013,1.109625411,
21372,2014,1.768303854,
21372,2015,,
21372,2016,,
21372,2017,,
21387,2013,-0.722714719,0.526536588
21387,2014,,
21387,2015,,
21387,2016,,
21387,2017,,
21399,2013,0.892840261,0.205589281
21399,2014,,
21399,2015,-0.383604576,
21399,2016,0.41856079,
21399,2017,0.054355269,
21621,2013,,
21621,2014,-1.877316624,
21621,2015,,
21621,2016,,
21621,2017,,
21639,2013,-3.182833011,
21639,2014,,
21639,2015,,
21639,2016,,
21639,2017,,
21728,2013,,
21728,2014,,
21728,2015,,
21728,2016,-1.05358356,
21728,2017,-0.694987761,
21889,2013,-1.606530632,
21889,2014,-1.210877659,
21889,2015,-1.374690213,
21889,2016,,
21889,2017,,
22000,2013,-1.140307611,
22000,2014,,
22000,2015,,
22000,2016,,
22000,2017,,
22021,2013,0.438448981,
22021,2014,0.036151047,
22021,2015,,
22021,2016,,
22021,2017,,
22274,2013,,
22274,2014,-0.068767554,-0.184140423
22274,2015,-0.345401519,-1.497655907
22274,2016,0.014161438,-0.165074262
22274,2017,-0.449037373,
22303,2013,0.720432012,
22303,2014,0.467979401,
22303,2015,1.58793952,
22303,2016,-0.64361514,
22303,2017,1.616518533,
22411,2013,0.629335344,
22411,2014,1.526662264,-0.203828948
22411,2015,1.702981751,0.498104185
22411,2016,-0.595083878,-0.572128878
22411,2017,,
22627,2013,1.419865508,
22627,2014,1.224532746,
22627,2015,0.688298675,
22627,2016,,
22627,2017,,
22637,2013,0.660202445,1.845861532
22637,2014,0.041473851,0.198790282
22637,2015,0.003854371,-0.87908859
22637,2016,-0.237121446,1.755742204
22637,2017,-0.354124477,
22686,2013,-1.9360518,0.886749828
22686,2014,-0.444746035,
22686,2015,,
22686,2016,,
22686,2017,,
22694,2013,-0.23695748,
22694,2014,-0.771615531,
22694,2015,-0.446851443,
22694,2016,-0.463317873,
22694,2017,,
22696,2013,-0.23701148,
22696,2014,-0.539673008,
22696,2015,-0.313149711,
22696,2016,-1.564236569,
22696,2017,,
22823,2013,-0.132659515,
22823,2014,-1.406819292,
22823,2015,,
22823,2016,,
22823,2017,,
22874,2013,0.637398658,-0.217164789
22874,2014,0.380829633,-0.639476756
22874,2015,-1.128888925,-0.271036433
22874,2016,,
22874,2017,,
22909,2013,0.187614038,
22909,2014,0.311775719,
22909,2015,-0.369012443,
22909,2016,,
22909,2017,,
23065,2013,,0.713996764
23065,2014,0.87719157,-1.395240243
23065,2015,0.481324716,-0.474160675
23065,2016,0.597235321,0.50137056
23065,2017,,
23104,2013,,
23104,2014,,
23104,2015,,
23104,2016,-2.217944031,
23104,2017,,
23233,2013,1.156047485,-0.536437324
23233,2014,0.372650784,-0.515893978
23233,2015,-1.942787767,0.07273956
23233,2016,-0.033828305,0.815618276
23233,2017,-1.184244988,
